ACC1X,ACC1Y,ACC1Z,GYR1X,GYR1Y,GYR1Z
0.10302734,-0.03808594,1.00683594,-0.24414062,-0.24414062,0.24414062
0.10400391,-0.03808594,1.0078125,-0.24414062,-0.30517578,0.12207031
0.10400391,-0.03808594,1.0078125,-0.24414062,-0.30517578,0.12207031
0.10498047,-0.03710938,1.0078125,-0.12207031,-0.24414062,0.12207031
0.10498047,-0.03710938,1.0078125,-0.12207031,-0.24414062,0.12207031
0.10498047,-0.03759766,1.00683594,-0.06103516,-0.30517578,0.12207031
0.10498047,-0.03759766,1.00683594,-0.06103516,-0.30517578,0.12207031
0.10449219,-0.03857422,1.00830078,-0.18310547,-0.18310547,0.12207031
0.10449219,-0.03857422,1.00830078,-0.18310547,-0.18310547,0.12207031
0.10595703,-0.03808594,1.00732422,-0.30517578,-0.24414062,0.12207031
0.10595703,-0.03808594,1.00732422,-0.30517578,-0.24414062,0.12207031
0.10546875,-0.03710938,1.00634766,-0.18310547,-0.24414062,0.12207031
0.10546875,-0.03710938,1.00634766,-0.18310547,-0.24414062,0.12207031
0.10595703,-0.03759766,1.00732422,-0.12207031,-0.24414062,0.12207031
0.10595703,-0.03759766,1.00732422,-0.12207031,-0.24414062,0.12207031
0.10546875,-0.0390625,1.0078125,-0.12207031,-0.24414062,0.12207031
0.10546875,-0.0390625,1.0078125,-0.12207031,-0.24414062,0.12207031
0.10595703,-0.03710938,1.0078125,-0.18310547,-0.18310547,0.18310547
0.10595703,-0.03710938,1.0078125,-0.18310547,-0.18310547,0.18310547
0.10498047,-0.03710938,1.00830078,-0.30517578,-0.24414062,0.12207031
0.10498047,-0.03710938,1.00830078,-0.30517578,-0.24414062,0.12207031
0.10449219,-0.03808594,1.00683594,-0.18310547,-0.18310547,0.12207031
0.10449219,-0.03808594,1.00683594,-0.18310547,-0.18310547,0.12207031
0.10546875,-0.0390625,1.00732422,-0.12207031,-0.24414062,0.12207031
0.10546875,-0.0390625,1.00732422,-0.12207031,-0.24414062,0.12207031
0.10498047,-0.0390625,1.00683594,-0.06103516,-0.18310547,0.12207031
0.10498047,-0.0390625,1.00683594,-0.06103516,-0.18310547,0.12207031
0.10351562,-0.03710938,1.00732422,-0.24414062,-0.24414062,0.12207031
0.10351562,-0.03710938,1.00732422,-0.24414062,-0.24414062,0.12207031
0.10351562,-0.03710938,1.00732422,-0.24414062,-0.24414062,0.12207031
0.10351562,-0.03710938,1.00732422,-0.24414062,-0.24414062,0.12207031
0.10400391,-0.03759766,1.00683594,-0.18310547,-0.24414062,0.12207031
0.10400391,-0.03759766,1.00683594,-0.18310547,-0.24414062,0.12207031
0.10449219,-0.03808594,1.0078125,-0.12207031,-0.24414062,0.18310547
0.10449219,-0.03808594,1.0078125,-0.12207031,-0.24414062,0.18310547
0.10400391,-0.03857422,1.0078125,-0.12207031,-0.24414062,0.12207031
0.10400391,-0.03857422,1.0078125,-0.12207031,-0.24414062,0.12207031
0.10498047,-0.03857422,1.00683594,-0.24414062,-0.24414062,0.18310547
0.10498047,-0.03857422,1.00683594,-0.24414062,-0.24414062,0.18310547
0.10595703,-0.03808594,1.00683594,-0.24414062,-0.30517578,0.24414062
0.10595703,-0.03808594,1.00683594,-0.24414062,-0.30517578,0.24414062
0.10546875,-0.03808594,1.00732422,-0.18310547,-0.24414062,0.12207031
0.10546875,-0.03808594,1.00732422,-0.18310547,-0.24414062,0.12207031
0.10595703,-0.03710938,1.00683594,-0.06103516,-0.24414062,0.12207031
0.10595703,-0.03710938,1.00683594,-0.06103516,-0.24414062,0.12207031
0.10449219,-0.03857422,1.00683594,-0.18310547,-0.18310547,0.12207031
0.10449219,-0.03857422,1.00683594,-0.18310547,-0.18310547,0.12207031
0.10498047,-0.03662109,1.00634766,-0.24414062,-0.18310547,0.18310547
0.10498047,-0.03662109,1.00634766,-0.24414062,-0.18310547,0.18310547
0.10546875,-0.03759766,1.0078125,-0.24414062,-0.24414062,0.18310547
0.10546875,-0.03759766,1.0078125,-0.24414062,-0.24414062,0.18310547
0.10351562,-0.03759766,1.00732422,-0.12207031,-0.24414062,0.12207031
0.10351562,-0.03759766,1.00732422,-0.12207031,-0.24414062,0.12207031
0.10253906,-0.03710938,1.00585938,-0.12207031,-0.24414062,0.12207031
0.10253906,-0.03710938,1.00585938,-0.12207031,-0.24414062,0.12207031
0.10449219,-0.03759766,1.00634766,-0.12207031,-0.24414062,0.18310547
0.10449219,-0.03759766,1.00634766,-0.12207031,-0.24414062,0.18310547
0.10546875,-0.03808594,1.0078125,-0.30517578,-0.24414062,0.12207031
0.10546875,-0.03808594,1.0078125,-0.30517578,-0.24414062,0.12207031
0.10400391,-0.03759766,1.00683594,-0.30517578,-0.30517578,0.12207031
0.10400391,-0.03759766,1.00683594,-0.30517578,-0.30517578,0.12207031
0.10400391,-0.03759766,1.00634766,-0.18310547,-0.30517578,0.12207031
0.10400391,-0.03759766,1.00634766,-0.18310547,-0.30517578,0.12207031
0.10498047,-0.03759766,1.00732422,-0.06103516,-0.24414062,0.12207031
0.10498047,-0.03759766,1.00732422,-0.06103516,-0.24414062,0.12207031
0.10498047,-0.03710938,1.00830078,-0.18310547,-0.24414062,0.12207031
0.10498047,-0.03710938,1.00830078,-0.18310547,-0.24414062,0.12207031
0.10400391,-0.03808594,1.00732422,-0.24414062,-0.24414062,0.18310547
0.10400391,-0.03808594,1.00732422,-0.24414062,-0.24414062,0.18310547
0.10595703,-0.03759766,1.00683594,-0.24414062,-0.30517578,0.18310547
